Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,SRA Study,tissue
SRR9974610,3-week,OTHER,100,1711727900,PRJNA553138,SAMN12229592,Plant,654044524,CENTER FOR MOLECULAR BIOLOGY OF PLANTS (ZMBP),public,TAK-1,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX6721862,Germany,Europe,Germany,NextSeq 500,H3K36me3_Tak1_rep2,PAIRED,PCR,GENOMIC,1711,623,Marchantia polymorpha,ILLUMINA,2019-12-09T00:00:00Z,SRS5274129,Marchantia polymorpha thallus (TAK-1),SRP218469,thallus
SRR9974611,3-week,OTHER,250,3056437500,PRJNA553138,SAMN12229592,Plant,1111571197,CENTER FOR MOLECULAR BIOLOGY OF PLANTS (ZMBP),public,TAK-1,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX6721861,Germany,Europe,Germany,NextSeq 500,H3K36me3_Tak1_rep1,PAIRED,PCR,GENOMIC,3056,1060,Marchantia polymorpha,ILLUMINA,2019-12-09T00:00:00Z,SRS5274129,Marchantia polymorpha thallus (TAK-1),SRP218469,thallus
SRR9974613,3-week,OTHER,150,971637000,PRJNA553138,SAMN12229592,Plant,360419122,CENTER FOR MOLECULAR BIOLOGY OF PLANTS (ZMBP),public,TAK-1,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX6721859,Germany,Europe,Germany,NextSeq 500,H3K9ac_Tak1_rep1,PAIRED,PCR,GENOMIC,971,343,Marchantia polymorpha,ILLUMINA,2019-12-09T00:00:00Z,SRS5274129,Marchantia polymorpha thallus (TAK-1),SRP218469,thallus
SRR9974615,3-week,OTHER,150,987406050,PRJNA553138,SAMN12229592,Plant,360875932,CENTER FOR MOLECULAR BIOLOGY OF PLANTS (ZMBP),public,TAK-1,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX6721857,Germany,Europe,Germany,NextSeq 500,H3K14ac_Tak1_rep2,PAIRED,PCR,GENOMIC,987,344,Marchantia polymorpha,ILLUMINA,2019-12-09T00:00:00Z,SRS5274129,Marchantia polymorpha thallus (TAK-1),SRP218469,thallus
SRR9974617,3-week,OTHER,100,939912700,PRJNA553138,SAMN12229592,Plant,341281263,CENTER FOR MOLECULAR BIOLOGY OF PLANTS (ZMBP),public,TAK-1,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX6721855,Germany,Europe,Germany,NextSeq 500,H3K27me1_Tak1_rep2,PAIRED,PCR,GENOMIC,939,325,Marchantia polymorpha,ILLUMINA,2019-12-09T00:00:00Z,SRS5274129,Marchantia polymorpha thallus (TAK-1),SRP218469,thallus
SRR9974619,3-week,Hi-C,300,40054188312,PRJNA553138,SAMN12229592,Plant,17759283827,CENTER FOR MOLECULAR BIOLOGY OF PLANTS (ZMBP),public,TAK-1,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX6721853,Germany,Europe,Germany,Illumina HiSeq 3000,Tak1_HiC_rep2,PAIRED,PCR,GENOMIC,40054,16936,Marchantia polymorpha,ILLUMINA,2019-12-09T00:00:00Z,SRS5274129,Marchantia polymorpha thallus (TAK-1),SRP218469,thallus
SRR9974620,3-week,Hi-C,300,33678202894,PRJNA553138,SAMN12229592,Plant,15175424305,CENTER FOR MOLECULAR BIOLOGY OF PLANTS (ZMBP),public,TAK-1,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX6721852,Germany,Europe,Germany,Illumina HiSeq 3000,Tak1_HiC_rep1,PAIRED,PCR,GENOMIC,33678,14472,Marchantia polymorpha,ILLUMINA,2019-12-09T00:00:00Z,SRS5274129,Marchantia polymorpha thallus (TAK-1),SRP218469,thallus
SRR9974622,3-week,OTHER,100,1793000900,PRJNA553138,SAMN12229592,Plant,670895197,CENTER FOR MOLECULAR BIOLOGY OF PLANTS (ZMBP),public,TAK-1,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX6721850,Germany,Europe,Germany,NextSeq 500,H2AZ_Tak1_rep1,PAIRED,PCR,GENOMIC,1793,639,Marchantia polymorpha,ILLUMINA,2019-12-09T00:00:00Z,SRS5274129,Marchantia polymorpha thallus (TAK-1),SRP218469,thallus
SRR9974624,3-week,OTHER,100,1581677100,PRJNA553138,SAMN12229592,Plant,590934824,CENTER FOR MOLECULAR BIOLOGY OF PLANTS (ZMBP),public,TAK-1,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX6721848,Germany,Europe,Germany,NextSeq 500,H3K27me3_Tak1_rep1,PAIRED,PCR,GENOMIC,1581,563,Marchantia polymorpha,ILLUMINA,2019-12-09T00:00:00Z,SRS5274129,Marchantia polymorpha thallus (TAK-1),SRP218469,thallus
SRR9974631,3-week,OTHER,100,907049300,PRJNA553138,SAMN12229592,Plant,327492772,CENTER FOR MOLECULAR BIOLOGY OF PLANTS (ZMBP),public,TAK-1,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX6721841,Germany,Europe,Germany,NextSeq 500,H3K9me1_Tak1_rep2,PAIRED,PCR,GENOMIC,907,312,Marchantia polymorpha,ILLUMINA,2019-12-09T00:00:00Z,SRS5274129,Marchantia polymorpha thallus (TAK-1),SRP218469,thallus
SRR9974632,3-week,OTHER,100,814397700,PRJNA553138,SAMN12229592,Plant,295606462,CENTER FOR MOLECULAR BIOLOGY OF PLANTS (ZMBP),public,TAK-1,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX6721840,Germany,Europe,Germany,NextSeq 500,H3_Tak1_rep1,PAIRED,PCR,GENOMIC,814,281,Marchantia polymorpha,ILLUMINA,2019-12-09T00:00:00Z,SRS5274129,Marchantia polymorpha thallus (TAK-1),SRP218469,thallus
SRR9974634,3-week,OTHER,100,1613306300,PRJNA553138,SAMN12229592,Plant,593983433,CENTER FOR MOLECULAR BIOLOGY OF PLANTS (ZMBP),public,TAK-1,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX6721838,Germany,Europe,Germany,NextSeq 500,H3K9me1_Tak1_rep1,PAIRED,PCR,GENOMIC,1613,566,Marchantia polymorpha,ILLUMINA,2019-12-09T00:00:00Z,SRS5274129,Marchantia polymorpha thallus (TAK-1),SRP218469,thallus
